,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
43,11,pixel3_latency,RandomForest,full_features_one_hot,42,100,0.44931117424449163,0.17911335880917734,0.589935131940414,0.09320188413555397
44,11,pixel3_latency,RandomForest,full_features_one_hot_proxies,42,100,0.45996601512312674,0.16325218091132906,0.606293358735823,0.08587017989942268
45,11,eyeriss_latency,RandomForest,only_features,42,100,0.3352499177921308,0.16503507395745984,0.5155620900612533,0.1080597667606609
46,11,eyeriss_latency,RandomForest,only_proxies,42,100,0.13707902677943792,0.20429192520206313,0.35038215897526004,0.12773236988404685
47,11,eyeriss_latency,RandomForest,only_one_hot,42,100,0.1011258599537354,0.1817803998725573,0.3259425633689332,0.08091296996195818
48,11,eyeriss_latency,RandomForest,features_one_hot,42,100,0.3100598617369475,0.16860353593132524,0.4993666331112735,0.10359294714280695
49,11,eyeriss_latency,RandomForest,features_proxies,42,100,0.28146521328597146,0.17489527027505264,0.4765267226133393,0.12068421854187625
50,11,eyeriss_latency,RandomForest,features_one_hot_proxies,42,100,0.2673874880198433,0.17952714499867975,0.4714141613368152,0.12192052910764035
51,11,eyeriss_latency,RandomForest,only_full_features,42,100,0.6017285899043855,0.14743125805728477,0.7349516397216971,0.0731257364871196
52,11,eyeriss_latency,RandomForest,full_features_one_hot,42,100,0.5905251693011456,0.15497088046277807,0.7305970670314964,0.07248967891118846
53,11,eyeriss_latency,RandomForest,full_features_one_hot_proxies,42,100,0.5656435172139721,0.1521062331139199,0.7229254391403392,0.08191262929673433
54,11,eyeriss_energy,RandomForest,only_features,42,100,0.35927418324161864,0.16593711246234033,0.5387055415826215,0.11796054502695504
55,11,eyeriss_energy,RandomForest,only_proxies,42,100,0.1812713274199323,0.20256172540025605,0.3989242952401398,0.14722473383605325
56,11,eyeriss_energy,RandomForest,only_one_hot,42,100,0.10490831495365407,0.16801038948326472,0.3193197633317927,0.08282854316683909
57,11,eyeriss_energy,RandomForest,features_one_hot,42,100,0.32873114535271414,0.1687001199197689,0.5234474642502921,0.11642202248624084
58,11,eyeriss_energy,RandomForest,features_proxies,42,100,0.30211113719812277,0.1758843265820794,0.49702908003269436,0.13445837913122916
59,11,eyeriss_energy,RandomForest,features_one_hot_proxies,42,100,0.28787851005152626,0.17626033282698714,0.4944360248315305,0.13792409535119549
60,11,eyeriss_energy,RandomForest,only_full_features,42,100,0.6091714430462697,0.14960765568320075,0.7259698025528836,0.08287464097897454
61,11,eyeriss_energy,RandomForest,full_features_one_hot,42,100,0.5981838904225116,0.15375255842486665,0.7226972321860887,0.08314653224701542
62,11,eyeriss_energy,RandomForest,full_features_one_hot_proxies,42,100,0.5676893146049948,0.15866997236042413,0.7128389437470571,0.09634798835708547
63,11,eyeriss_arithmetic_intensity,RandomForest,only_features,42,100,0.5335657895212114,0.12905565906134464,0.6333877084295402,0.07594684001444259
64,11,eyeriss_arithmetic_intensity,RandomForest,only_proxies,42,100,0.37061173617013515,0.12953798995986016,0.4855348619939357,0.06841770951946317
65,11,eyeriss_arithmetic_intensity,RandomForest,only_one_hot,42,100,0.07653786342892556,0.18438158060364152,0.29057790761993824,0.088336553222781
66,11,eyeriss_arithmetic_intensity,RandomForest,features_one_hot,42,100,0.5018918265965477,0.13647106187788352,0.6239165009336436,0.07875357124297774
67,11,eyeriss_arithmetic_intensity,RandomForest,features_proxies,42,100,0.47937005041689446,0.12310425099309419,0.5960565083925016,0.06550824263255879
68,11,eyeriss_arithmetic_intensity,RandomForest,features_one_hot_proxies,42,100,0.4581004071975252,0.12461773916222892,0.5893211227532212,0.06480807075480244
69,11,eyeriss_arithmetic_intensity,RandomForest,only_full_features,42,100,0.5184498879696577,0.13813169545021764,0.6538261223733808,0.0817592071025332
