,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
15,15000,edgegpu_energy,XGBRegressor,only_full_features,42,100,0.9724233268466754,0.00548676986926047,0.91099920927427,0.006750890558795165
16,15000,edgegpu_energy,XGBRegressor,full_features_one_hot,42,100,0.9824536768371719,0.004119258290245305,0.9287550693202864,0.005203266424694653
17,15000,edgegpu_energy,XGBRegressor,full_features_one_hot_proxies,42,100,0.983480146198776,0.004010547751098079,0.9309479175278222,0.004972836494120993
18,15000,raspi4_latency,XGBRegressor,only_features,42,100,0.9328623518928975,0.009812140800746992,0.8399709609976834,0.009574504002167814
19,15000,raspi4_latency,XGBRegressor,only_proxies,42,100,0.929453420272913,0.010135383796457672,0.8356747852476163,0.00971327990811316
20,15000,raspi4_latency,XGBRegressor,only_one_hot,42,100,0.9791236037622449,0.0018627008969640266,0.8944205872954213,0.006442765619387967
21,15000,raspi4_latency,XGBRegressor,features_one_hot,42,100,0.9773294355645201,0.0038494518702497367,0.8928924102564106,0.006683698045678711
22,15000,raspi4_latency,XGBRegressor,features_proxies,42,100,0.9722481956587944,0.004025798117928811,0.8849873210532144,0.006777473653597644
23,15000,raspi4_latency,XGBRegressor,features_one_hot_proxies,42,100,0.978400826899146,0.003510279726685787,0.893925948717949,0.006194230706899702
24,15000,raspi4_latency,XGBRegressor,only_full_features,42,100,0.9755190861072701,0.0034153360142740274,0.8888316759378965,0.006639198581882722
25,15000,raspi4_latency,XGBRegressor,full_features_one_hot,42,100,0.9782120926006193,0.0030588284028111212,0.8934220228557092,0.006584836740974613
26,15000,raspi4_latency,XGBRegressor,full_features_one_hot_proxies,42,100,0.9790447966571003,0.0029388273468111906,0.8941845872956843,0.00609497188325527
27,15000,edgetpu_latency,XGBRegressor,only_features,42,100,0.6916689684633363,0.03391210877272387,0.718143736476518,0.017709935983818308
28,15000,edgetpu_latency,XGBRegressor,only_proxies,42,100,0.716244195111932,0.02650271706599844,0.7157748702385637,0.013852422179837068
29,15000,edgetpu_latency,XGBRegressor,only_one_hot,42,100,0.9675521476695268,0.011329661071593345,0.8846244754673346,0.0061331834579949765
30,15000,edgetpu_latency,XGBRegressor,features_one_hot,42,100,0.9695056960306282,0.010453136926409335,0.8753110833579943,0.006053345822372998
31,15000,edgetpu_latency,XGBRegressor,features_proxies,42,100,0.8932551953658348,0.016766823539529584,0.8034375412232589,0.011647736032908178
32,15000,edgetpu_latency,XGBRegressor,features_one_hot_proxies,42,100,0.9624989042213759,0.011079022729601018,0.8640769603486086,0.007541920752687192
33,15000,edgetpu_latency,XGBRegressor,only_full_features,42,100,0.9481370901643743,0.01109278039266895,0.852159527987761,0.006477414072566648
34,15000,edgetpu_latency,XGBRegressor,full_features_one_hot,42,100,0.9731523999609619,0.010582353136543248,0.8794299324230724,0.0062145129421592605
35,15000,edgetpu_latency,XGBRegressor,full_features_one_hot_proxies,42,100,0.9716802777628665,0.01033579336038319,0.8757637053187756,0.0066366070044845335
36,15000,pixel3_latency,XGBRegressor,only_features,42,100,0.907571439556456,0.011552500556099613,0.8299852113359304,0.00851441206629556
37,15000,pixel3_latency,XGBRegressor,only_proxies,42,100,0.9108706376162944,0.01079227919012144,0.8279797490593479,0.009597988498787506
38,15000,pixel3_latency,XGBRegressor,only_one_hot,42,100,0.9569124083344249,0.0038150473676969803,0.8862102822482839,0.005524806244033709
39,15000,pixel3_latency,XGBRegressor,features_one_hot,42,100,0.9546846293298,0.0052608562844037796,0.8848948941804092,0.005388168167610536
40,15000,pixel3_latency,XGBRegressor,features_proxies,42,100,0.9521530714715237,0.0049940457820665226,0.8788289620230911,0.00617987150160431
41,15000,pixel3_latency,XGBRegressor,features_one_hot_proxies,42,100,0.958009285840385,0.0050340739924033965,0.887945364533397,0.005626291146388365
42,15000,pixel3_latency,XGBRegressor,only_full_features,42,100,0.9524710299248763,0.005105886809690923,0.8791124938078043,0.0058247712541420185
43,15000,pixel3_latency,XGBRegressor,full_features_one_hot,42,100,0.9552784934137378,0.005436622028861063,0.8846938399850237,0.005783891080270166
44,15000,pixel3_latency,XGBRegressor,full_features_one_hot_proxies,42,100,0.9583532367444814,0.005149661498847995,0.888417262997045,0.005674788255650575
45,15000,eyeriss_latency,XGBRegressor,only_features,42,100,0.9999349467300225,0.0002703983385072364,0.9593815038659578,0.002551615872829557
46,15000,eyeriss_latency,XGBRegressor,only_proxies,42,100,0.9987219168856147,0.0004655927272039182,0.9518359284600002,0.003070152091994135
47,15000,eyeriss_latency,XGBRegressor,only_one_hot,42,100,0.9999522830991898,9.21252999377334e-06,0.9552863574150179,0.0026716765663933628
48,15000,eyeriss_latency,XGBRegressor,features_one_hot,42,100,0.9999349463534486,0.0002703982689239398,0.9593730164312899,0.0025509251706741084
49,15000,eyeriss_latency,XGBRegressor,features_proxies,42,100,0.9999348670248588,0.0002706262426305997,0.9579233562299536,0.0026964350971348597
50,15000,eyeriss_latency,XGBRegressor,features_one_hot_proxies,42,100,0.9999348656528791,0.0002706275246246492,0.9578893858348543,0.002696461086272287
51,15000,eyeriss_latency,XGBRegressor,only_full_features,42,100,0.9999975651559171,8.937371312198866e-06,0.9914733485549747,0.0010975208013908504
52,15000,eyeriss_latency,XGBRegressor,full_features_one_hot,42,100,0.9999975651559171,8.937371312198866e-06,0.9914733485549747,0.0010975208013908504
53,15000,eyeriss_latency,XGBRegressor,full_features_one_hot_proxies,42,100,0.9999975651559171,8.937371312198866e-06,0.9914733485549747,0.0010975208013908504
54,15000,eyeriss_energy,XGBRegressor,only_features,42,100,0.9999359297995276,0.000253931910060045,0.9903318747491072,0.0008421089983115553
55,15000,eyeriss_energy,XGBRegressor,only_proxies,42,100,0.9989613950884575,0.0003955190353403869,0.9720593294783035,0.002236534197283618
56,15000,eyeriss_energy,XGBRegressor,only_one_hot,42,100,0.9999501730315079,2.6218202337100788e-05,0.9849487357501695,0.0008863730201862628
57,15000,eyeriss_energy,XGBRegressor,features_one_hot,42,100,0.999935929179157,0.0002539317673572994,0.9903255593016291,0.0008351246429254614
58,15000,eyeriss_energy,XGBRegressor,features_proxies,42,100,0.9999357892384464,0.00025420804142944865,0.9887860243702715,0.0008820046653049368
59,15000,eyeriss_energy,XGBRegressor,features_one_hot_proxies,42,100,0.9999357714776044,0.0002542257823308699,0.9887600477654392,0.0008056167937207604
60,15000,eyeriss_energy,XGBRegressor,only_full_features,42,100,0.9999980009648947,5.971820969574273e-06,0.9983857851129311,0.00033118748368462185
61,15000,eyeriss_energy,XGBRegressor,full_features_one_hot,42,100,0.9999980009648947,5.971820969574273e-06,0.9983857851129311,0.00033118748368462185
62,15000,eyeriss_energy,XGBRegressor,full_features_one_hot_proxies,42,100,0.9999980009649465,5.971821006660357e-06,0.9983856537777475,0.00033110466966598123
63,15000,eyeriss_arithmetic_intensity,XGBRegressor,only_features,42,100,0.9999997613417938,7.414742043456167e-07,0.9914586251524627,0.0004384680030580234
64,15000,eyeriss_arithmetic_intensity,XGBRegressor,only_proxies,42,100,0.9994442127421256,0.0005466583154746833,0.9790699135301217,0.001972038191874502
65,15000,eyeriss_arithmetic_intensity,XGBRegressor,only_one_hot,42,100,0.9992199954420435,0.00014357034466788292,0.9737693688270213,0.0024668636598808857
66,15000,eyeriss_arithmetic_intensity,XGBRegressor,features_one_hot,42,100,0.9999997615049848,7.409671659841388e-07,0.9914593434141266,0.0004381136500239576
67,15000,eyeriss_arithmetic_intensity,XGBRegressor,features_proxies,42,100,0.9999997383243349,8.074532567226237e-07,0.9910202921992182,0.0004706317245337386
68,15000,eyeriss_arithmetic_intensity,XGBRegressor,features_one_hot_proxies,42,100,0.9999997386721489,8.057461796042128e-07,0.991012808039685,0.0004678640740337908
69,15000,eyeriss_arithmetic_intensity,XGBRegressor,only_full_features,42,100,0.9999997583756223,7.906728204038201e-07,0.999920792362763,0.0004525839861276
